yyyymm,equity_premium,b/m,tbl,ntis,infl,ltr,svar,dp,dy,ep,tms,dfy,dfr
196301,0.077300749,0.564984989,0.0291,0.016441036,0.0010983,-0.0001,0.000699764,-3.433431921,-3.385472227,-2.888863229,0.0107,0.007,0.013
196302,0.001085092,0.581953118,0.0292,0.012522859,0.0010971,0.0008,0.000392124,-3.401043404,-3.430319769,-2.855971684,0.0108,0.007,0.0127
196303,0.064227846,0.587528571,0.0289,0.013689506,0.0010959,0.0009,0.000359924,-3.432786183,-3.397936256,-2.887222149,0.0112,0.0069,0.013
196304,0.075532403,0.558729274,0.029,0.01454124,0,-0.0012,0.000322164,-3.472442583,-3.425062599,-2.922990564,0.0115,0.0066,0.0131
196305,0.042155382,0.551612193,0.0293,0.014000631,0,0.0023,0.000303663,-3.479007766,-3.464782776,-2.925734634,0.0113,0.0063,0.0129
196306,0.008325324,0.567281575,0.0299,0.017602692,0.0043716,0.0019,0.000261092,-3.450997137,-3.47140164,-2.893982131,0.0108,0.0061,0.0124
196307,0.025259182,0.576621659,0.0318,0.009318574,0.0043526,0.0031,0.000529791,-3.446018938,-3.449484645,-2.880153636,0.0089,0.0058,0.0108
196308,0.074813922,0.549827236,0.0332,0.009519622,0,0.0021,0.000326916,-3.49210197,-3.444504198,-2.917494908,0.0076,0.0054,0.0097
196309,0.016444908,0.547223625,0.0338,0.010313262,0,0.0004,0.000329888,-3.479498232,-3.490594046,-2.896246722,0.0072,0.0053,0.0093
196310,0.058564189,0.530964077,0.0345,0.010279966,0.0010852,-0.0026,0.000503543,-3.500706474,-3.468997002,-2.9229184,0.007,0.0051,0.0087
196311,0.016822532,0.534296221,0.0352,0.006012545,0.001084,0.0051,0.00311016,-3.479714898,-3.490309944,-2.907310812,0.0062,0.0051,0.0081
196312,0.051155449,0.525591454,0.0352,0.008954678,0.0021645,-0.0006,0.00027358,-3.493579302,-3.46942973,-2.926472842,0.0065,0.005,0.0083
196401,0.053012365,0.510606871,0.0352,0.014293524,0.0010805,-0.0014,0.000183339,-3.51286452,-3.486294497,-2.939863921,0.0069,0.0044,0.0087
196402,0.036175823,0.501162297,0.0353,0.017407874,-0.0010805,-0.0011,7.17E-05,-3.515453386,-3.505636723,-2.936670645,0.0071,0.0047,0.0083
196403,0.041177579,0.523675442,0.0354,0.017783196,0.0010805,0.0037,0.000114717,-3.523326388,-3.508273164,-2.938883409,0.007,0.0045,0.0084
196404,0.032272458,0.525303107,0.0347,0.020767958,0.0010793,0.0047,0.000254751,-3.522256448,-3.516197354,-2.933051757,0.0076,0.0045,0.0093
196405,0.037468793,0.51903578,0.0348,0.021179272,0,0.005,0.000225772,-3.526569331,-3.515182109,-2.932687963,0.0074,0.0044,0.0093
196406,0.042108813,0.512206855,0.0348,0.020502939,0.0021552,0.0069,0.000397862,-3.535831108,-3.519540485,-2.937364053,0.0071,0.0044,0.0093
196407,0.043636682,0.506360718,0.0346,0.021312605,0.0021505,0.0008,0.000198899,-3.545538197,-3.527462858,-2.944718773,0.0075,0.0043,0.0094
196408,0.009864968,0.507942944,0.035,0.020696583,-0.0010747,0.002,0.000425926,-3.520876384,-3.537239394,-2.917751118,0.0073,0.0041,0.0091
